"Years: 1988 - 2024"
"1687 Projects Found"
"Project Number",URL,Title,"SARE Funds",Region,"Project Type",State,"Project Year","Grant Recipient Organization"
OW13-062,https://projects.sare.org/sare_project/OW13-062,"Empowering Socially-Disadvantaged Farmers to Investigate Nitrogen Management in High-Value Vegetable Crops","45,527.00",Western,"On Farm Research/Partnership",CA,2013,
OW15-008,https://projects.sare.org/sare_project/OW15-008,"Optimizing nitrogen management on organic and biologically-intensive farms","49,997.00",Western,"On Farm Research/Partnership",WA,2015,
SW03-016,https://projects.sare.org/sare_project/SW03-016,"Farming for the Future: Cultivating the Next Generation of Farmers","145,800.00",Western,"Research and Education",WA,2003,
SW04-072,https://projects.sare.org/sare_project/SW04-072,"Managing Cover Crop and Conservation Tillage Systems To Enhance Vegetable Crop Yields, Economic Returns and Environmental Quality","182,438.00",Western,"Research and Education",OR,2004,
SW11-072,https://projects.sare.org/sare_project/SW11-072,"Selecting management practices and cover crops for reducing tillage, enhancing soil quality, and managing weeds in western WA","196,626.00",Western,"Research and Education",WA,2011,
SW12-110,https://projects.sare.org/sare_project/SW12-110,"The interaction of rangeland management and environmental conditions in regulating forage quality - quantity and other ecosystem services","265,414.00",Western,"Research and Education",CA,2012,
SW96-007,https://projects.sare.org/sare_project/SW96-007,"Reducing Environmental Contamination from Feedlot Manure in the South Platte River Basin through Agronomic, Economic, and Social Analysis and Education","206,000.00",Western,"Research and Education",CO,1996,
SW99-015,https://projects.sare.org/sare_project/SW99-015,"Sustainable Marketing Strategy in Micronesia","27,564.00",Western,"Research and Education",FM,1999,
YENC08-009,https://projects.sare.org/sare_project/YENC08-009,"Leelanau Farm Connection","1,978.00","North Central","Youth Educator",MI,2008,
YENC10-025,https://projects.sare.org/sare_project/YENC10-025,"Sprouts, Soil, and Worms","2,000.00","North Central","Youth Educator",MO,2010,
YENC12-039,https://projects.sare.org/sare_project/YENC12-039,"Rethinking Urban Agriculture: An Aquaponics Approach","2,000.00","North Central","Youth Educator",MO,2012,
YENC12-045,https://projects.sare.org/sare_project/YENC12-045,"Shiawassee Camper's Sustainable Garden and Sustainable Agriculture Education","2,000.00","North Central","Youth Educator",IA,2012,
YENC13-059,https://projects.sare.org/sare_project/YENC13-059,"Creating Teen Ambassadors","2,000.00","North Central","Youth Educator",MO,2013,
YENC14-074,https://projects.sare.org/sare_project/YENC14-074,"Youth Service Corps Fruit Tree Project: Sustainable Approach to Neighborhood Fruit Access","2,000.00","North Central","Youth Educator",MI,2014,
YENC15-083,https://projects.sare.org/sare_project/YENC15-083,"Healthy Growing, Healthy Eating: Youth gardening program","2,000.00","North Central","Youth Educator",OH,2015,
YENC15-085,https://projects.sare.org/sare_project/YENC15-085,"Big River Farms Youth - Family Engagement Program - a Project of the Minnesota Food Association","2,000.00","North Central","Youth Educator",MN,2015,
YENC15-087,https://projects.sare.org/sare_project/YENC15-087,"Sustainable Agriculture Summer Camp at Riveredge Nature Center","2,000.00","North Central","Youth Educator",WI,2015,
ONE16-270,https://projects.sare.org/sare_project/ONE16-270,"Effects of non-NPK organic soil amendments on yield and quality of vegetable crops","10,197.00",Northeast,"On Farm Research/Partnership",ME,2016,"Organic Growers Supply (Fedco)"
FNE16-857,https://projects.sare.org/sare_project/FNE16-857,"Using forage radish to combat compaction in hay and pasture land","10,671.00",Northeast,Farmer/Rancher,ME,2016,"Apple Creek Farm, LLC"
FNC16-1024,https://projects.sare.org/sare_project/FNC16-1024,"Growing Mealworms as a Fish Feed for Sustainable Aquaponics","3,467.00","North Central",Farmer/Rancher,OH,2016,"RainFresh Harvests"
FNC16-1043,https://projects.sare.org/sare_project/FNC16-1043,"Developing Sustainable, Natural Farming Techniques to Implement a Farmer’s Market and Educate Underserved African American Communities","7,428.00","North Central",Farmer/Rancher,MO,2016,"Food for People KC"
FNC16-1049,https://projects.sare.org/sare_project/FNC16-1049,"Modeling Efficiency and Safety in a Vegetable Wash and Pack House","7,360.00","North Central",Farmer/Rancher,MO,2016,"Millsap Farm LLC"
FNC16-1059,https://projects.sare.org/sare_project/FNC16-1059,"Expanding Warm Season High Tunnel Production Using Solar-Powered Ventilation","7,330.00","North Central",Farmer/Rancher,MO,2016,"The Farm at Kraut Run, LLC."
YENC16-100,https://projects.sare.org/sare_project/YENC16-100,"Farmer in the Classroom: Introducing Elementary Students to Local Farmers and Sustainable Agricultural Practices","2,000.00","North Central","Youth Educator",WI,2016,"REAP Food Group"
FW16-023,https://projects.sare.org/sare_project/FW16-023,"Malama Kou Kino","20,000.00",Western,Farmer/Rancher,HI,2016,"Real Farm"
OW16-008,https://projects.sare.org/sare_project/OW16-008,"Winter squash: extending the season and expanding the uses","49,958.00",Western,"On Farm Research/Partnership",OR,2016,"Oregon State University"
GS16-153,https://projects.sare.org/sare_project/GS16-153,"Living Soil for a Sustainable Future: Assessing the Effects of Cover Crops and Tillage on the Soil Microbial Community and Health","10,995.00",Southern,"Graduate Student",VA,2016,"Virginia Tech"
GNE16-127,https://projects.sare.org/sare_project/GNE16-127,"Renewable alternative bedding for commercial broiler chicken production","14,258.00",Northeast,"Graduate Student",PA,2016,"Penn State University"
OS17-108,https://projects.sare.org/sare_project/OS17-108,"Using Mycorrhizal Fungi to Improve Soil Health and Increase Yield in Organic Vegetable Farms","14,995.00",Southern,"On Farm Research/Partnership",TX,2017,"The University of Texas Rio Grande Valley"
ONC17-033,https://projects.sare.org/sare_project/ONC17-033,"Use of Tarps to Terminate High-Residue Winter-Hardy Cover Crops Before No-Till Organic Vegetables","29,998.00","North Central","On Farm Research/Partnership",WI,2017,"University of Wisconsin Extension Dane County"
FNC17-1081,https://projects.sare.org/sare_project/FNC17-1081,"Proof of Concept – Sustainable Chestnut Production in Northeast Lower Michigan","10,255.00","North Central",Farmer/Rancher,MI,2017,"Ox Heights"
FNC17-1103,https://projects.sare.org/sare_project/FNC17-1103,"Mobile Hop Dryer","7,500.00","North Central",Farmer/Rancher,OH,2017,"Ohio Valley Hops, LLC"
FW17-026,https://projects.sare.org/sare_project/FW17-026,"Grafted Watermelon Production in Southcentral Alaska","19,999.00",Western,Farmer/Rancher,AK,2017,"Robert Brown"
ONE17-301,https://projects.sare.org/sare_project/ONE17-301,"Lease mediation project","14,487.00",Northeast,"On Farm Research/Partnership",NY,2017,"New York State Agricultural mediation Program (NYSAMP) a project of NYSDRA"
ONE17-302,https://projects.sare.org/sare_project/ONE17-302,"Application of regionally adapted nematodes for root maggot management","13,046.00",Northeast,"On Farm Research/Partnership",VT,2017,"University of Vermont and State Agricultural College"
SFL16-002,https://projects.sare.org/sare_project/SFL16-002,"2016-2017 Model State Program Florida A&M University","11,111.00",Southern,"PDP State Program",FL,2016,"Florida A&amp;M University"
GS17-175,https://projects.sare.org/sare_project/GS17-175,"Investigating the Impact of Plant Spacing on Yields of Sweet Potato Produced in Organic Systems","16,443.00",Southern,"Graduate Student",TN,2017,"Tennessee State University"
GNE17-154,https://projects.sare.org/sare_project/GNE17-154,"Mineral nitrogen recovery from manure slurry through multi-layer sorption of NH3 and CO2 onto pyrolyzed biomass","15,000.00",Northeast,"Graduate Student",NY,2017,"Cornell University"
GNE17-158,https://projects.sare.org/sare_project/GNE17-158,"Reclamation of nutrients and irrigation waters from livestock wastewater","15,000.00",Northeast,"Graduate Student",NJ,2017,"Rutgers, The State University of New Jersey"
LS17-286,https://projects.sare.org/sare_project/LS17-286,"Long-term Agroecosystems Research and Adoption in the Texas Southern High Plains - Phase III","300,000.00",Southern,"Research and Education",TX,2017,"Texas Tech University"
LNC17-394,https://projects.sare.org/sare_project/LNC17-394,"Land-Based Learning Centers: A multi-generational educational approach to promoting on-farm sustainable agriculture","151,408.00","North Central","Research and Education",MI,2017,"Michigan State University"
FS18-310,https://projects.sare.org/sare_project/FS18-310,"Increasing Farm Fertility and Profits with Mushroom Mulches","9,774.00",Southern,Farmer/Rancher,TN,2018,Farmer
OS18-123,https://projects.sare.org/sare_project/OS18-123,"Demonstration of Root Zone Heating Supported by the Developed Biomass Greenhouse Heating System","14,883.00",Southern,"On Farm Research/Partnership",NC,2018,"Appalachian State University"
SW18-041,https://projects.sare.org/sare_project/SW18-041,"Sustaining Oregon broccoli production","229,804.00",Western,"Research and Education",OR,2018,"Oregon State University"
YENC18-127,https://projects.sare.org/sare_project/YENC18-127,"Urban Farming as a Sustainable Business","2,000.00","North Central","Youth Educator",MI,2018,"Asbury Community Development Corporation"
YENC18-128,https://projects.sare.org/sare_project/YENC18-128,"Flowers for Food and Thought","2,000.00","North Central","Youth Educator",MI,2018,"Allen Neighborhood Center"
YENC18-131,https://projects.sare.org/sare_project/YENC18-131,"Arts US Young Growers!","1,999.00","North Central","Youth Educator",MN,2018,"Arts US"
FNC18-1122,https://projects.sare.org/sare_project/FNC18-1122,"Establishing the Value of Flower Companions in Cucurbits","7,500.00","North Central",Farmer/Rancher,IA,2018,"Genuine Faux Farm"
FNC18-1127,https://projects.sare.org/sare_project/FNC18-1127,"Investigating the economic sustainability of distribution channels for the urban farmer and consumer in food insecure neighborhoods","7,498.00","North Central",Farmer/Rancher,MO,2018,"Dirt Beast Farm "
FNC18-1140,https://projects.sare.org/sare_project/FNC18-1140,"Rotation of Animals Through an Apple Orchard For Pest and Disease Suppression, Soil Improvement, and the Addition of Viable Revenue Streams","7,303.00","North Central",Farmer/Rancher,WI,2018,"Grandview Orchard and Nursery Stock "
ENE18-153,https://projects.sare.org/sare_project/ENE18-153,"From Classroom to the Field: Advanced Soil Health Training for New York Agricultural Service Providers","145,305.00",Northeast,"Professional Development Program",NY,2018,"American Farmland Trust"
FNE18-907,https://projects.sare.org/sare_project/FNE18-907,"Here Comes the Sun: Solar Power as Energy Source in Remote High Tunnel Ventilation Systems","14,246.00",Northeast,Farmer/Rancher,WV,2018,"T. L. Fruits and Vegetables LLC"
GNE18-169,https://projects.sare.org/sare_project/GNE18-169,"Expanding Northeast Strawberry Production in Controlled Environment Agriculture with Naturally-Derived Nutrient Source","14,758.00",Northeast,"Graduate Student",NH,2018,"University of New Hampshire"
GNE18-190,https://projects.sare.org/sare_project/GNE18-190,"Sustainable Urban Agriculture in Pennsylvania: Assessing Best Practices for Historically Marginalized Farmers","14,970.00",Northeast,"Graduate Student",PA,2018,"The Pennsylvania State University"
GNC18-264,https://projects.sare.org/sare_project/GNC18-264,"Springtails as Bioindicators of Soil Health","11,988.00","North Central","Graduate Student",IN,2018,"Purdue University"
GNC18-270,https://projects.sare.org/sare_project/GNC18-270,"Monitoring Belowground Arthropods Associated with Cover Crops in Great Plain High Tunnel Systems","11,999.00","North Central","Graduate Student",KS,2018,"Kansas State University"
ENC18-165,https://projects.sare.org/sare_project/ENC18-165,"Cover Crops and Forage Grazing Training Program in North Dakota","74,855.00","North Central","Professional Development Program",ND,2018,"North Dakota State University"
ENC18-166,https://projects.sare.org/sare_project/ENC18-166,"An Introductory Virtual Training Curriculum for Crop Advisers and Extension Educators Working with Transitioning Organic Grain Crop Producers","68,437.00","North Central","Professional Development Program",WI,2018,"American Society of Agronomy"
LS18-303,https://projects.sare.org/sare_project/LS18-303,"CEFS Long-term Systems Research: Providing the Building Blocks for Resilient Food Production Systems Phase III","100,000.00",Southern,"Research and Education",NC,2018,"North Carolina State University"
YENC19-133,https://projects.sare.org/sare_project/YENC19-133,"Murray Middle School's Sustainable Agriculture and Forestry Grant Proposal - Soil to Table with Cultural Relevance","2,900.00","North Central","Youth Educator",MN,2019,"Murray Middle School"
FNC19-1161,https://projects.sare.org/sare_project/FNC19-1161,"Ancestral Mexica Farming: A Comparative Yield Analysis from the 1500s","8,908.00","North Central",Farmer/Rancher,KS,2019,Maseualkuallifarms@gmail.com
FNC19-1182,https://projects.sare.org/sare_project/FNC19-1182,"Moving Beyond Anecdotes: Making Data Driven Decisions to Adapt to Climate Change","7,859.00","North Central",Farmer/Rancher,IL,2019,"Prairie Wind Family Farm"
SSC18-001,https://projects.sare.org/sare_project/SSC18-001,SSC18-001,"55,555.00",Southern,"PDP State Program",SC,2018,"Clemson University"
WRGR19-03,https://projects.sare.org/sare_project/WRGR19-03,"Regenerative Agriculture: connecting soil health, native bee habitat, and climate resilience through on-farm management strategies","30,886.00",Western,"Local Ed &amp; Demo (formerly RGR)",OR,2019,"Our Family Farms, Oregon Climate and Agriculture Network (OrCAN)"
SW19-902,https://projects.sare.org/sare_project/SW19-902,"Potential Economic and Nitrogen Benefits of Fababean as a Double Purpose Cash and Cover Crop in Northern California","348,772.00",Western,"Research and Education",CA,2019,"California State University- Chico"
SW19-904,https://projects.sare.org/sare_project/SW19-904,"The utility of plant traits to identify range seeding candidates that can achieve multiple management goals","342,481.00",Western,"Research and Education",AZ,2019,"University of Arizona"
FNE19-924,https://projects.sare.org/sare_project/FNE19-924,"Reduced Till and No-Till Planting of Vegetables in a Vetch/Triticale Cover Crop","15,000.00",Northeast,Farmer/Rancher,NY,2019,"Philia Farm"
